Ward,Neighbourhood Number,Neighbourhood Name,Age Range,Population
Ward 6,1020,Boyle Street,45-49,304
Ward 5,4360,Oleskiw,15-19,123
Ward 2,1230,Spruce Avenue,75-79,25
Ward 11,6190,Edmonton Research and Development Park,20-24,0
Ward 3,4017,Anthony Henday Lake District,15-19,0
Ward 12,6662,Walker,85+,11
Ward 1,4600,West Sheffield Industrial,10-14,0
Ward 11,6360,King Edward Park,15-19,197
Ward 8,6550,Ottewell,30-34,402
Ward 4,2720,York,50-54,187
Ward 4,2280,Fraser,85+,28
Ward 11,6480,Michaels Park,85+,17
Ward 10,5110,Calgary Trail North,15-19,0
Ward 7,2330,Highlands,60-64,206
Ward 11,6190,Edmonton Research and Development Park,0-4,0
Ward 3,2260,Evansdale,85+,66
Ward 4,2521,McConachie Area,75-79,39
Ward 8,5580,Windsor Park,35-39,56
Ward 7,2650,River Valley Rundle,5-9,0
Ward 1,4530,Sunwapta Industrial,Prefer Not to Answer,0
Ward 6,1140,McCauley,20-24,130
Ward 12,6444,Laurel,20-24,668
Ward 9,4013,Anthony Henday Terwillegar,25-29,0
Ward 9,5565,Whitemud Creek Ravine Twin Brooks,30-34,0
Ward 7,1120,Edmonton Northlands,85+,0
Ward 4,2670,Rural North East Horse Hill,50-54,11
Ward 8,6730,Terrace Heights,60-64,129
Ward 2,3240,Inglewood,40-44,426
Ward 10,5400,River Valley Whitemud,25-29,0
Ward 4,2590,Overlanders,60-64,164
Ward 7,2560,Newton,55-59,218
Ward 1,4630,White Industrial,30-34,0
Ward 11,6470,Meyonohk,10-14,186
Ward 12,6213,Summerside,15-19,805
Ward 3,3080,Canossa,65-69,100
Ward 10,5466,Cashman,40-44,0
Ward 1,4670,Winterburn Industrial Area West,75-79,0
Ward 10,5470,Steinhauer,45-49,106
Ward 11,6190,Edmonton Research and Development Park,15-19,0
Ward 4,2630,River Valley Hermitage,30-34,0
Ward 9,5640,Terwillegar Towne,20-24,309
Ward 1,4100,Carleton Square Industrial,15-19,0
Ward 4,2251,Ebbers,20-24,50
Ward 5,4720,Glastonbury,25-29,349
Ward 1,4018,Anthony Henday Big Lake,70-74,0
Ward 5,4430,Rio Terrace,15-19,73
Ward 9,5576,Keswick Area,70-74,24
Ward 10,5453,Blackmud Creek,Prefer Not to Answer,199
Ward 1,4340,Morin Industrial,20-24,0
Ward 1,4600,West Sheffield Industrial,55-59,0
Ward 4,4019,Anthony Henday Energy Park,75-79,0
Ward 12,6150,Daly Grove,45-49,183
Ward 11,6540,Morris Industrial,0-4,0
Ward 1,4180,Glenwood,10-14,213
Ward 5,4280,Lynnwood,15-19,163
Ward 8,5040,Belgravia,25-29,153
Ward 12,6661,Charlesworth,85+,12
Ward 9,5640,Terwillegar Towne,60-64,249
Ward 11,6250,Gainer Industrial,15-19,0
Ward 6,1210,Riverdale,35-39,160
Ward 9,5640,Terwillegar Towne,80-84,80
Ward 4,2311,Gorman,80-84,0
Ward 8,6350,Kenilworth,15-19,110
Ward 3,3370,Rapperswill,5-9,289
Ward 1,3330,Parkview,30-34,164
Ward 6,1150,Oliver,40-44,788
Ward 4,2070,Belmont,15-19,295
Ward 11,6160,Davies Industrial East,50-54,0
Ward 7,2100,Beverly Heights,Prefer Not to Answer,606
Ward 2,1111,Blatchford Area,30-34,0
Ward 2,3220,Hagmann Estate Industrial,0-4,0
Ward 1,4740,Webber Greens,75-79,17
Ward 11,6720,Tawa,30-34,113
Ward 8,5290,McKernan,5-9,102
Ward 1,4580,West Jasper Place,75-79,61
Ward 1,4660,Youngstown Industrial,55-59,0
Ward 3,2241,Eaux Claires,25-29,224
Ward 2,3050,Brown Industrial,55-59,0
Ward 10,5220,Greenfield,20-24,217
Ward 7,2010,Abbottsfield,45-49,91
Ward 10,4024,Anthony Henday South Blackburne,40-44,0
Ward 8,6240,Fulton Place,45-49,140
Ward 11,6420,Maple Ridge Industrial,35-39,0
Ward 5,4551,Granville,25-29,135
Ward 4,2670,Rural North East Horse Hill,20-24,10
Ward 6,1180,Queen Mary Park,35-39,564
Ward 12,6770,Weinlos,15-19,148
Ward 10,5250,Keheewin,40-44,163
Ward 7,2040,Beacon Heights,50-54,201
Ward 2,3460,Albany,60-64,65
Ward 1,4485,Lewis Farms Industrial,45-49,3
Ward 9,5620,Hodgson,25-29,137
Ward 9,5405,River Valley Windermere,30-34,0
Ward 10,5560,Whitemud Creek Ravine South,65-69,0
Ward 2,3450,Woodcroft,10-14,104
Ward 4,2130,Casselman,0-4,198
Ward 3,2462,Crystallina Nera East,55-59,0
Ward 1,4487,Secord,60-64,116
Ward 2,4023,Anthony Henday Rampart,55-59,0
Ward 8,6380,Lambton Industrial,20-24,0
Ward 8,5151,Strathcona Junction,Prefer Not to Answer,0
Ward 5,4160,Gariepy,80-84,41
Ward 2,3090,Carlisle,75-79,79
Ward 1,4520,Summerlea,35-39,71
Ward 8,6710,Strathearn,65-69,125
Ward 4,2611,Cy Becker,85+,3
Ward 5,4462,Edgemont,80-84,4
Ward 9,5380,River Valley Terwillegar,5-9,0
Ward 1,4020,Aldergrove,60-64,348
Ward 10,5120,Calgary Trail South,10-14,0
Ward 1,4470,Rural West Big Lake,10-14,0
Ward 1,4540,Terra Losa,10-14,44
Ward 9,5570,Windermere,15-19,525
Ward 4,2145,Clareview Town Centre,45-49,213
Ward 3,3490,Goodridge Corners,60-64,0
Ward 5,4420,Quesnell Heights,65-69,23
Ward 1,4650,Winterburn Industrial Area East,25-29,0
Ward 4,2160,Clover Bar Area,25-29,0
Ward 8,5580,Windsor Park,55-59,79
Ward 4,2340,Hollick-Kenyon,65-69,210
Ward 4,2160,Clover Bar Area,80-84,0
Ward 11,6195,South Edmonton Common,5-9,0
Ward 8,5040,Belgravia,0-4,74
Ward 1,4240,La Perle,10-14,318
Ward 4,2340,Hollick-Kenyon,35-39,486
Ward 1,4630,White Industrial,75-79,0
Ward 10,5060,Blue Quill,75-79,76
Ward 10,5110,Calgary Trail North,60-64,0
Ward 7,2290,Glengarry,10-14,127
Ward 6,3310,North Glenora,30-34,144
Ward 8,5390,River Valley Walterdale,35-39,0
Ward 11,6160,Davies Industrial East,70-74,0
Ward 1,4290,Mayfield,85+,44
Ward 1,4340,Morin Industrial,85+,0
Ward 8,6710,Strathearn,30-34,206
Ward 8,6070,Cloverdale,15-19,27
Ward 11,6410,Maple Ridge,85+,15
Ward 8,6061,Capilano,25-29,135
Ward 1,4530,Sunwapta Industrial,35-39,0
Ward 8,6730,Terrace Heights,75-79,30
