Ward,Neighbourhood Number,Neighbourhood Name,Age Range,Population
Ward 11,6280,Greenview,55-59,206
Ward 10,5310,Parkallen,60-64,143
Ward 1,4130,Edmiston Industrial,45-49,0
Ward 12,6030,Bisset,30-34,258
Ward 11,6020,Avonmore,45-49,118
Ward 9,5454,Rutherford,45-49,922
Ward 11,6640,Roper Industrial,50-54,0
Ward 1,4477,Kinglet Gardens,35-39,5
Ward 5,4570,Wedgewood Heights,60-64,165
Ward 9,5456,Heritage Valley Area,45-49,0
Ward 9,5640,Terwillegar Towne,70-74,133
Ward 11,6480,Michaels Park,25-29,124
Ward 8,6350,Kenilworth,20-24,118
Ward 11,6200,Ekota,25-29,153
Ward 10,5451,Richford,5-9,34
Ward 10,5320,Pleasantview,40-44,221
Ward 3,2050,Belle Rive,60-64,276
Ward 4,2251,Ebbers,25-29,75
Ward 12,6665,Anthony Henday South East,35-39,0
Ward 3,2600,Ozerna,65-69,233
Ward 9,5230,Henderson Estates,70-74,118
Ward 7,1190,River Valley Kinnaird,50-54,0
Ward 9,5465,Hays Ridge Area,50-54,24
Ward 4,2030,Bannerman,5-9,163
Ward 1,4740,Webber Greens,15-19,160
Ward 12,6660,Rural South East,45-49,0
Ward 9,5405,River Valley Windermere,65-69,0
Ward 7,2640,River Valley Highlands,85+,0
Ward 11,6330,Jackson Heights,10-14,217
Ward 1,3380,River Valley Capitol Hill,5-9,0
Ward 4,2030,Bannerman,35-39,221
Ward 7,1160,Parkdale,5-9,135
Ward 11,6500,Mill Woods Golf Course,60-64,0
Ward 1,4040,Belmead,80-84,58
Ward 11,6410,Maple Ridge,25-29,75
Ward 7,1270,Yellowhead Corridor East,20-24,0
Ward 3,2050,Belle Rive,85+,46
Ward 4,2630,River Valley Hermitage,15-19,0
Ward 5,4610,Westridge,55-59,93
Ward 7,1080,Delton,85+,36
Ward 2,4320,Mistatim Industrial,70-74,0
Ward 9,5380,River Valley Terwillegar,0-4,0
Ward 7,2360,Industrial Heights,70-74,0
Ward 8,6550,Ottewell,85+,212
Ward 1,4018,Anthony Henday Big Lake,20-24,0
Ward 9,5642,South Terwillegar,15-19,529
Ward 2,3090,Carlisle,65-69,175
Ward 7,2330,Highlands,80-84,40
Ward 12,6444,Laurel,55-59,319
Ward 11,6300,Hillview,75-79,60
Ward 4,2120,Canon Ridge,40-44,154
Ward 1,4620,Westview Village,40-44,91
Ward 4,2080,Belvedere,20-24,230
Ward 9,5505,Ambleside,80-84,30
Ward 5,4430,Rio Terrace,65-69,76
Ward 9,5230,Henderson Estates,0-4,56
Ward 4,2350,Homesteader,35-39,308
Ward 9,5642,South Terwillegar,25-29,777
Ward 9,5463,Desrochers Area,65-69,11
Ward 3,2700,Schonsee,60-64,138
Ward 4,2130,Casselman,40-44,197
Ward 12,6660,Rural South East,5-9,0
Ward 4,2590,Overlanders,15-19,115
Ward 1,4540,Terra Losa,55-59,126
Ward 11,6492,Mill Creek Ravine South,70-74,0
Ward 8,6630,River Valley Riverside,75-79,0
Ward 2,3450,Woodcroft,75-79,91
Ward 2,3111,Griesbach,50-54,255
Ward 10,5550,Whitemud Creek Ravine North,70-74,0
Ward 9,8888,Edmonton South West,75-79,6
Ward 10,5490,Sweet Grass,15-19,159
Ward 3,4016,Anthony Henday Castledowns,65-69,0
Ward 7,1270,Yellowhead Corridor East,0-4,0
Ward 1,4475,Kinokamau Plains Area,80-84,2
Ward 12,6216,The Orchards At Ellerslie,0-4,459
Ward 7,2660,Rundle Heights,0-4,166
Ward 3,3180,Dunluce,40-44,305
Ward 7,2230,Delwood,85+,90
Ward 11,6420,Maple Ridge Industrial,20-24,0
Ward 6,1090,Downtown,15-19,134
Ward 2,3480,Hudson,25-29,155
Ward 11,6520,Mill Woods Town Centre,55-59,46
Ward 10,5010,Allendale,70-74,60
Ward 9,5405,River Valley Windermere,80-84,0
Ward 7,1270,Yellowhead Corridor East,35-39,0
Ward 1,4200,High Park,70-74,51
Ward 11,6250,Gainer Industrial,50-54,0
Ward 12,6214,Ellerslie Industrial,10-14,0
Ward 10,5460,Skyrattler,15-19,58
Ward 4,2430,Kirkness,70-74,121
Ward 10,5560,Whitemud Creek Ravine South,60-64,0
Ward 1,4650,Winterburn Industrial Area East,70-74,0
Ward 1,4700,Breckenridge Greens,80-84,30
Ward 8,6730,Terrace Heights,35-39,164
Ward 11,6410,Maple Ridge,0-4,61
Ward 4,2530,McLeod,35-39,108
Ward 11,6170,Davies Industrial West,75-79,0
Ward 11,6250,Gainer Industrial,20-24,0
Ward 10,5170,Empire Park,0-4,194
Ward 12,6770,Weinlos,80-84,40
Ward 10,5050,Blackmud Creek Ravine,0-4,0
Ward 2,3350,Prince Charles,85+,11
Ward 5,4140,Elmwood,Prefer Not to Answer,259
Ward 12,6214,Ellerslie Industrial,40-44,0
Ward 10,5280,Malmo Plains,10-14,112
Ward 9,5505,Ambleside,15-19,216
Ward 2,3050,Brown Industrial,15-19,0
Ward 4,2130,Casselman,20-24,253
Ward 6,3200,Glenora,80-84,58
Ward 9,5463,Desrochers Area,85+,2
Ward 2,3010,Athlone,40-44,200
Ward 11,6510,Mill Woods Park,80-84,0
Ward 2,3460,Albany,20-24,71
Ward 3,3190,Elsinore,0-4,79
Ward 6,1150,Oliver,60-64,924
Ward 1,4650,Winterburn Industrial Area East,85+,0
Ward 9,4013,Anthony Henday Terwillegar,55-59,0
Ward 8,5370,River Valley Mayfair,40-44,0
Ward 5,4070,Callingwood North,25-29,205
Ward 7,2060,Bellevue,40-44,79
Ward 10,4024,Anthony Henday South Blackburne,20-24,0
Ward 5,4468,Stillwater,50-54,3
Ward 1,4580,West Jasper Place,20-24,138
Ward 9,4014,Anthony Henday South,55-59,0
Ward 4,2500,Matt Berry,25-29,209
Ward 9,4014,Anthony Henday South,75-79,0
Ward 8,6270,Gold Bar,75-79,67
Ward 3,4017,Anthony Henday Lake District,40-44,0
Ward 5,4469,River's Edge,80-84,0
Ward 2,3410,Sherbrooke,80-84,24
Ward 1,4473,Hawks Ridge,35-39,128
Ward 8,6270,Gold Bar,Prefer Not to Answer,281
Ward 4,2690,Rural North East South Sturgeon,55-59,68
Ward 1,4190,Hawin Park Estate Industrial,10-14,0
Ward 12,6211,Ellerslie,60-64,177
Ward 6,1180,Queen Mary Park,0-4,334
Ward 12,6790,Wild Rose,80-84,71
Ward 11,6480,Michaels Park,30-34,129
Ward 5,4160,Gariepy,60-64,151
Ward 4,2611,Cy Becker,80-84,0
Ward 6,1020,Boyle Street,15-19,95
Ward 4,4019,Anthony Henday Energy Park,15-19,0
Ward 11,6540,Morris Industrial,55-59,0
Ward 11,6680,Satoo,55-59,209
Ward 11,6750,Tipaskan,75-79,50
Ward 9,5454,Rutherford,Prefer Not to Answer,879
Ward 8,6320,Idylwylde,70-74,74
Ward 1,4740,Webber Greens,35-39,291
Ward 4,2270,Evergreen,85+,12
Ward 11,6170,Davies Industrial West,20-24,0
Ward 4,2380,Kennedale Industrial,60-64,0
Ward 5,4610,Westridge,75-79,59
Ward 4,2070,Belmont,50-54,290
Ward 1,4240,La Perle,Prefer Not to Answer,412
Ward 1,4340,Morin Industrial,0-4,0
Ward 6,3440,Westmount,25-29,472
Ward 3,2050,Belle Rive,75-79,61
Ward 8,6550,Ottewell,55-59,437
Ward 1,3380,River Valley Capitol Hill,25-29,0
Ward 7,2640,River Valley Highlands,65-69,0
Ward 1,4030,Armstrong Industrial,55-59,0
Ward 11,6330,Jackson Heights,85+,51
Ward 10,5320,Pleasantview,20-24,293
Ward 2,3450,Woodcroft,65-69,165
Ward 12,6662,Walker,35-39,1294
Ward 10,5458,Allard,55-59,246
Ward 5,4070,Callingwood North,20-24,138
Ward 12,6580,Pollard Meadows,25-29,316
Ward 4,2720,York,35-39,179
Ward 5,3270,Laurier Heights,20-24,97
Ward 3,3180,Dunluce,30-34,387
Ward 7,2090,Bergman,70-74,47
Ward 2,4330,Mitchell Industrial,35-39,0
Ward 8,5580,Windsor Park,80-84,21
Ward 2,3260,Lauderdale,15-19,143
Ward 1,4230,Jasper Park,45-49,75
Ward 5,4280,Lynnwood,30-34,208
Ward 8,6620,River Valley Gold Bar,55-59,0
Ward 3,2700,Schonsee,75-79,53
Ward 4,2130,Casselman,55-59,217
Ward 7,2360,Industrial Heights,75-79,0
Ward 4,2670,Rural North East Horse Hill,70-74,4
Ward 9,5380,River Valley Terwillegar,30-34,0
Ward 1,4660,Youngstown Industrial,50-54,0
Ward 9,5100,Bulyea Heights,60-64,354
Ward 11,6260,Girard Industrial,70-74,0
Ward 8,6620,River Valley Gold Bar,0-4,0
Ward 7,1190,River Valley Kinnaird,40-44,0
Ward 3,3180,Dunluce,Prefer Not to Answer,1135
Ward 11,6470,Meyonohk,30-34,192
Ward 7,2660,Rundle Heights,35-39,165
Ward 2,3460,Albany,Prefer Not to Answer,427
Ward 2,3240,Inglewood,25-29,501
Ward 4,2350,Homesteader,10-14,299
Ward 11,6640,Roper Industrial,Prefer Not to Answer,0
Ward 1,3330,Parkview,10-14,199
Ward 7,2090,Bergman,0-4,36
Ward 4,2390,Kernohan,50-54,169
Ward 2,3290,McArthur Industrial,Prefer Not to Answer,0
Ward 9,5640,Terwillegar Towne,50-54,443
Ward 9,5570,Windermere,25-29,775
Ward 10,5160,Duggan,70-74,177
Ward 9,5454,Rutherford,60-64,406
Ward 7,2550,Montrose,60-64,179
Ward 1,4473,Hawks Ridge,25-29,50
Ward 4,2720,York,30-34,183
Ward 5,4420,Quesnell Heights,50-54,20
Ward 8,6730,Terrace Heights,15-19,76
Ward 9,5476,Magrath Heights,5-9,288
Ward 2,3050,Brown Industrial,25-29,0
Ward 1,4660,Youngstown Industrial,35-39,0
Ward 11,6500,Mill Woods Golf Course,80-84,0
Ward 3,3190,Elsinore,20-24,183
Ward 9,5576,Keswick Area,50-54,79
Ward 3,2241,Eaux Claires,50-54,201
Ward 10,5180,Ermineskin,50-54,219
Ward 1,4090,Canora,0-4,116
Ward 10,5060,Blue Quill,40-44,280
Ward 7,1240,Virginia Park,20-24,27
Ward 4,2110,Brintnell,55-59,298
Ward 7,1070,Cromdale,10-14,29
Ward 1,4310,Meadowlark Park,45-49,159
Ward 1,4474,Starling,55-59,76
Ward 3,2260,Evansdale,45-49,248
Ward 7,2560,Newton,65-69,151
Ward 3,3080,Canossa,55-59,223
Ward 12,6390,Larkspur,40-44,354
Ward 2,1230,Spruce Avenue,0-4,43
Ward 9,5630,Leger,85+,21
Ward 12,6140,Crawford Plains,30-34,291
Ward 3,3120,Chambery,40-44,237
Ward 4,2690,Rural North East South Sturgeon,15-19,50
Ward 10,5490,Sweet Grass,55-59,136
Ward 2,3020,Baranow,10-14,97
Ward 3,2450,Lago Lindo,50-54,221
Ward 9,5465,Hays Ridge Area,5-9,35
Ward 9,5565,Whitemud Creek Ravine Twin Brooks,Prefer Not to Answer,0
Ward 3,2462,Crystallina Nera East,40-44,0
Ward 2,3410,Sherbrooke,50-54,156
Ward 11,6780,Weir Industrial,25-29,0
Ward 3,3040,Beaumaris,40-44,188
Ward 11,6300,Hillview,15-19,179
Ward 4,2270,Evergreen,25-29,57
Ward 1,4500,Sherwood,15-19,49
Ward 1,3380,River Valley Capitol Hill,35-39,0
Ward 12,6441,Maple,30-34,386
Ward 7,2010,Abbottsfield,50-54,62
Ward 1,4475,Kinokamau Plains Area,0-4,1
Ward 6,1090,Downtown,40-44,604
Ward 11,6700,Strathcona Industrial Park,35-39,0
Ward 10,5360,Rideau Park,40-44,84
Ward 2,3010,Athlone,50-54,208
Ward 5,4451,River Valley Oleskiw,50-54,0
Ward 11,6690,Southeast Industrial,50-54,0
Ward 4,4021,Anthony Henday Horse Hill,60-64,0
Ward 3,2450,Lago Lindo,70-74,152
Ward 5,4390,Patricia Heights,75-79,39
Ward 2,3020,Baranow,35-39,180
Ward 11,6020,Avonmore,50-54,120
Ward 11,6370,Kiniski Gardens,25-29,406
Ward 11,6340,Kameyosek,5-9,158
Ward 8,6240,Fulton Place,50-54,130
Ward 2,3390,Rosslyn,5-9,133
Ward 1,4600,West Sheffield Industrial,45-49,0
Ward 3,2050,Belle Rive,55-59,334
Ward 6,3210,Grovenor,55-59,187
Ward 3,4016,Anthony Henday Castledowns,45-49,0
Ward 3,3080,Canossa,Prefer Not to Answer,236
Ward 6,1030,Central McDougall,45-49,190
Ward 4,4022,Anthony Henday Clareview,10-14,0
Ward 5,4080,Callingwood South,65-69,183
Ward 1,4310,Meadowlark Park,70-74,98
Ward 12,6661,Charlesworth,30-34,637
Ward 5,4560,Thorncliff,15-19,234
Ward 10,4024,Anthony Henday South Blackburne,55-59,0
Ward 12,6790,Wild Rose,5-9,462
Ward 4,2500,Matt Berry,55-59,295
Ward 5,4463,Riverview Area,55-59,24
Ward 2,4210,High Park Industrial,30-34,0
Ward 5,4360,Oleskiw,0-4,94
Ward 12,6213,Summerside,Prefer Not to Answer,1648
Ward 1,4100,Carleton Square Industrial,80-84,0
Ward 5,4080,Callingwood South,40-44,315
Ward 10,5120,Calgary Trail South,40-44,0
Ward 8,5200,Garneau,45-49,216
Ward 1,4540,Terra Losa,35-39,105
Ward 1,4660,Youngstown Industrial,0-4,0
Ward 4,2350,Homesteader,40-44,228
Ward 4,2521,McConachie Area,35-39,874
Ward 10,5457,Callaghan,60-64,148
Ward 10,5457,Callaghan,30-34,381
Ward 5,4280,Lynnwood,25-29,224
Ward 4,2320,Hairsine,50-54,109
Ward 10,5060,Blue Quill,55-59,210
Ward 1,4485,Lewis Farms Industrial,75-79,0
Ward 9,5476,Magrath Heights,30-34,168
Ward 4,2380,Kennedale Industrial,0-4,0
Ward 11,6760,Tweddle Place,30-34,145
Ward 4,2690,Rural North East South Sturgeon,Prefer Not to Answer,21
Ward 7,2400,Kildare,55-59,158
Ward 1,4540,Terra Losa,60-64,115
Ward 7,2100,Beverly Heights,75-79,89
Ward 1,4100,Carleton Square Industrial,20-24,0
Ward 11,6280,Greenview,40-44,183
Ward 9,5300,Ogilvie Ridge,65-69,95
Ward 1,4486,Stewart Greens,20-24,40
Ward 6,1220,Rossdale,45-49,39
Ward 12,6790,Wild Rose,70-74,251
Ward 11,6680,Satoo,45-49,201
Ward 1,4700,Breckenridge Greens,70-74,66
Ward 10,5280,Malmo Plains,30-34,330
Ward 10,5590,Blackburne,25-29,54
Ward 5,4430,Rio Terrace,25-29,69
Ward 2,3340,Pembina,35-39,68
Ward 6,1180,Queen Mary Park,40-44,402
Ward 1,4490,Sheffield Industrial,10-14,0
Ward 10,5590,Blackburne,35-39,71
Ward 9,5456,Heritage Valley Area,30-34,0
Ward 8,6550,Ottewell,10-14,259
Ward 1,4540,Terra Losa,15-19,53
Ward 7,2640,River Valley Highlands,45-49,0
Ward 10,5360,Rideau Park,Prefer Not to Answer,517
Ward 1,4040,Belmead,85+,63
Ward 12,8886,Edmonton South East,10-14,18
Ward 10,5511,Twin Brooks,40-44,246
Ward 12,6214,Ellerslie Industrial,20-24,0
Ward 6,3381,River Valley Glenora,25-29,0
Ward 1,4520,Summerlea,20-24,55
Ward 1,3380,River Valley Capitol Hill,0-4,0
Ward 4,2500,Matt Berry,30-34,196
Ward 4,2145,Clareview Town Centre,85+,13
Ward 12,6441,Maple,5-9,196
Ward 12,6662,Walker,25-29,810
Ward 1,3330,Parkview,85+,77
Ward 10,5060,Blue Quill,Prefer Not to Answer,611
Ward 10,5530,University of Alberta Farm,45-49,0
Ward 6,3440,Westmount,20-24,289
Ward 8,5480,Strathcona,35-39,656
Ward 5,4110,Dechene,30-34,65
Ward 1,4700,Breckenridge Greens,60-64,117
Ward 8,5040,Belgravia,45-49,117
Ward 2,4015,Anthony Henday Mistatim,45-49,0
Ward 12,6214,Ellerslie Industrial,45-49,0
Ward 12,8886,Edmonton South East,30-34,4
Ward 12,6530,Minchau,70-74,100
Ward 11,6250,Gainer Industrial,65-69,0
Ward 5,4464,The Uplands,25-29,24
Ward 9,5505,Ambleside,35-39,800
Ward 3,2050,Belle Rive,35-39,173
Ward 5,4430,Rio Terrace,5-9,73
Ward 2,4023,Anthony Henday Rampart,35-39,0
Ward 5,4120,Donsdale,Prefer Not to Answer,404
Ward 5,4720,Glastonbury,Prefer Not to Answer,482
Ward 4,2251,Ebbers,30-34,117
Ward 5,4012,Anthony Henday South West,30-34,0
Ward 5,4390,Patricia Heights,15-19,89
Ward 4,2110,Brintnell,70-74,79
Ward 5,4140,Elmwood,85+,57
Ward 4,2251,Ebbers,15-19,40
Ward 1,4473,Hawks Ridge,Prefer Not to Answer,11
Ward 7,1240,Virginia Park,5-9,17
Ward 5,4466,Cameron Heights,5-9,162
Ward 5,4461,The Hamptons,10-14,941
Ward 7,2020,Balwin,60-64,220
Ward 12,6150,Daly Grove,15-19,200
Ward 11,6280,Greenview,0-4,119
Ward 6,1220,Rossdale,80-84,7
Ward 10,5110,Calgary Trail North,40-44,0
Ward 7,2580,Northmount,40-44,155
Ward 1,4710,Potter Greens,Prefer Not to Answer,135
Ward 11,6510,Mill Woods Park,15-19,0
Ward 2,4170,Garside Industrial,35-39,0
Ward 2,3430,Wellington,25-29,231
Ward 1,4350,Norwester Industrial,20-24,0
Ward 11,6540,Morris Industrial,45-49,0
Ward 12,6211,Ellerslie,40-44,442
Ward 9,8888,Edmonton South West,30-34,2
Ward 1,4010,Alberta Park Industrial,50-54,0
Ward 3,2463,Crystallina Nera West,55-59,81
Ward 10,5540,Westbrook Estates,75-79,44
Ward 8,5290,McKernan,80-84,26
Ward 5,4451,River Valley Oleskiw,60-64,0
Ward 4,2280,Fraser,5-9,240
Ward 7,1240,Virginia Park,80-84,13
Ward 9,5350,Rhatigan Ridge,45-49,152
Ward 6,3200,Glenora,30-34,148
Ward 2,4015,Anthony Henday Mistatim,10-14,0
Ward 1,4473,Hawks Ridge,0-4,101
Ward 7,1130,Elmwood Park,20-24,49
Ward 11,6610,Ritchie,50-54,157
Ward 12,6442,Silver Berry,60-64,298
Ward 4,2350,Homesteader,45-49,216
Ward 12,6530,Minchau,65-69,159
Ward 8,6730,Terrace Heights,25-29,148
Ward 7,1160,Parkdale,75-79,59
Ward 11,6750,Tipaskan,20-24,155
Ward 4,2681,Edmonton Energy And Technology Park,75-79,1
Ward 12,6530,Minchau,30-34,234
Ward 4,2720,York,80-84,103
Ward 4,2080,Belvedere,Prefer Not to Answer,1134
Ward 7,2040,Beacon Heights,0-4,92
Ward 9,5578,Glenridding Heights,55-59,89
Ward 4,2430,Kirkness,Prefer Not to Answer,355
Ward 9,5575,Windermere Area,Prefer Not to Answer,0
Ward 10,5170,Empire Park,45-49,230
Ward 11,6170,Davies Industrial West,0-4,0
Ward 11,6410,Maple Ridge,50-54,126
Ward 1,3140,Crestwood,75-79,104
Ward 9,5230,Henderson Estates,65-69,155
Ward 8,6320,Idylwylde,65-69,91
Ward 9,5230,Henderson Estates,Prefer Not to Answer,64
Ward 9,5477,Mactaggart,20-24,221
Ward 11,6200,Ekota,75-79,67
Ward 7,2550,Montrose,20-24,160
Ward 10,5280,Malmo Plains,80-84,73
Ward 9,5477,Mactaggart,55-59,197
Ward 4,2311,Gorman,70-74,0
Ward 10,5210,Grandview Heights,30-34,21
Ward 10,5457,Callaghan,10-14,224
Ward 4,2670,Rural North East Horse Hill,30-34,4
Ward 2,3240,Inglewood,10-14,244
Ward 1,4500,Sherwood,40-44,61
Ward 8,5520,University of Alberta,25-29,0
Ward 10,5310,Parkallen,65-69,95
Ward 8,6550,Ottewell,35-39,390
Ward 5,4570,Wedgewood Heights,70-74,71
Ward 3,2511,Mayliewan,40-44,231
Ward 2,1250,Westwood,45-49,139
Ward 3,4016,Anthony Henday Castledowns,75-79,0
Ward 11,6330,Jackson Heights,30-34,194
Ward 1,4190,Hawin Park Estate Industrial,70-74,0
Ward 11,6100,Coronet Industrial,25-29,0
Ward 10,5490,Sweet Grass,5-9,153
Ward 11,6510,Mill Woods Park,30-34,0
Ward 11,6690,Southeast Industrial,35-39,0
Ward 1,4060,Britannia Youngstown,5-9,236
Ward 4,2311,Gorman,65-69,0
Ward 1,4486,Stewart Greens,Prefer Not to Answer,45
Ward 1,4580,West Jasper Place,60-64,190
Ward 1,4650,Winterburn Industrial Area East,0-4,0
Ward 4,2681,Edmonton Energy And Technology Park,40-44,4
Ward 1,4600,West Sheffield Industrial,30-34,0
Ward 9,5469,Paisley,10-14,50
Ward 12,6150,Daly Grove,30-34,225
Ward 11,6200,Ekota,45-49,155
Ward 12,6445,Aster,30-34,0
Ward 1,4620,Westview Village,30-34,90
Ward 1,4487,Secord,80-84,5
Ward 8,5040,Belgravia,40-44,117
Ward 5,4012,Anthony Henday South West,5-9,0
Ward 1,3380,River Valley Capitol Hill,55-59,0
Ward 3,2463,Crystallina Nera West,85+,5
Ward 1,4040,Belmead,25-29,252
Ward 1,4030,Armstrong Industrial,85+,0
Ward 10,5070,Blue Quill Estates,10-14,80
Ward 4,2070,Belmont,60-64,305
Ward 2,3320,Oxford,10-14,317
Ward 4,2500,Matt Berry,60-64,275
Ward 9,5620,Hodgson,Prefer Not to Answer,107
Ward 2,3220,Hagmann Estate Industrial,40-44,0
Ward 5,4380,Ormsby Place,10-14,309
Ward 4,2521,McConachie Area,40-44,600
Ward 6,1030,Central McDougall,30-34,415
Ward 2,4170,Garside Industrial,50-54,0
Ward 1,4510,Stone Industrial,40-44,0
Ward 8,6350,Kenilworth,70-74,76
Ward 11,6750,Tipaskan,85+,13
Ward 2,3150,Cumberland,25-29,350
Ward 11,6100,Coronet Industrial,30-34,0
Ward 4,2681,Edmonton Energy And Technology Park,25-29,6
Ward 1,4100,Carleton Square Industrial,Prefer Not to Answer,0
Ward 1,4011,Anthony Henday,80-84,0
Ward 9,5456,Heritage Valley Area,10-14,0
Ward 7,1100,Eastwood,85+,49
Ward 12,6442,Silver Berry,15-19,471
Ward 1,4510,Stone Industrial,20-24,0
Ward 5,4463,Riverview Area,60-64,33
Ward 9,5468,Graydon Hill,5-9,33
Ward 3,3370,Rapperswill,60-64,68
Ward 1,4010,Alberta Park Industrial,0-4,0
Ward 4,2311,Gorman,10-14,0
Ward 11,6160,Davies Industrial East,60-64,0
Ward 8,5580,Windsor Park,30-34,45
Ward 3,3030,Baturyn,80-84,84
Ward 10,5060,Blue Quill,65-69,143
Ward 5,4461,The Hamptons,45-49,953
Ward 5,4466,Cameron Heights,0-4,111
Ward 9,4013,Anthony Henday Terwillegar,75-79,0
Ward 5,4420,Quesnell Heights,25-29,10
Ward 3,2440,Klarvatten,15-19,380
Ward 4,2430,Kirkness,25-29,268
Ward 4,2611,Cy Becker,0-4,198
Ward 8,5370,River Valley Mayfair,35-39,0
Ward 4,2120,Canon Ridge,10-14,82
Ward 11,6020,Avonmore,70-74,102
Ward 3,2241,Eaux Claires,70-74,98
Ward 9,5380,River Valley Terwillegar,20-24,0
Ward 6,1020,Boyle Street,75-79,96
Ward 1,4470,Rural West Big Lake,70-74,0
Ward 11,6640,Roper Industrial,0-4,0
Ward 1,4600,West Sheffield Industrial,40-44,0
Ward 1,4700,Breckenridge Greens,35-39,122
Ward 12,6790,Wild Rose,0-4,320
Ward 3,4017,Anthony Henday Lake District,25-29,0
Ward 3,3490,Goodridge Corners,15-19,0
Ward 7,2090,Bergman,15-19,60
Ward 10,5467,Cavanagh,60-64,15
Ward 8,6350,Kenilworth,Prefer Not to Answer,194
Ward 5,4120,Donsdale,75-79,22
Ward 12,6661,Charlesworth,15-19,289
Ward 3,2260,Evansdale,80-84,100
Ward 1,4060,Britannia Youngstown,Prefer Not to Answer,702
Ward 6,1030,Central McDougall,70-74,82
Ward 1,4670,Winterburn Industrial Area West,35-39,0
Ward 7,2040,Beacon Heights,55-59,238
Ward 10,5030,Bearspaw,25-29,101
Ward 4,2720,York,60-64,182
Ward 11,6300,Hillview,5-9,183
Ward 9,5350,Rhatigan Ridge,40-44,194
Ward 12,6445,Aster,5-9,0
Ward 11,6520,Mill Woods Town Centre,60-64,54
Ward 4,2251,Ebbers,80-84,0
Ward 2,3111,Griesbach,55-59,230
Ward 5,4120,Donsdale,15-19,71
Ward 11,6640,Roper Industrial,40-44,0
Ward 2,3260,Lauderdale,60-64,147
Ward 11,6492,Mill Creek Ravine South,40-44,0
Ward 10,5250,Keheewin,70-74,126
Ward 1,4475,Kinokamau Plains Area,5-9,2
Ward 2,3060,Caernarvon,0-4,236
Ward 11,6400,Lee Ridge,60-64,165
Ward 5,4120,Donsdale,0-4,33
Ward 10,5540,Westbrook Estates,70-74,40
Ward 11,6520,Mill Woods Town Centre,25-29,46
Ward 4,2690,Rural North East South Sturgeon,35-39,36
Ward 3,2600,Ozerna,30-34,195
Ward 9,5576,Keswick Area,75-79,11
Ward 5,4420,Quesnell Heights,10-14,30
Ward 5,4463,Riverview Area,50-54,31
Ward 7,1190,River Valley Kinnaird,85+,0
Ward 4,2630,River Valley Hermitage,80-84,0
Ward 11,6470,Meyonohk,65-69,178
Ward 3,2410,Kilkenny,10-14,355
Ward 7,1190,River Valley Kinnaird,25-29,0
Ward 11,6290,Hazeldean,75-79,41
Ward 4,2530,McLeod,5-9,87
Ward 3,4016,Anthony Henday Castledowns,5-9,0
Ward 8,6270,Gold Bar,60-64,168
Ward 10,5560,Whitemud Creek Ravine South,40-44,0
Ward 11,6760,Tweddle Place,25-29,169
Ward 11,6720,Tawa,70-74,103
Ward 11,6420,Maple Ridge Industrial,40-44,0
Ward 5,4070,Callingwood North,75-79,44
Ward 4,4022,Anthony Henday Clareview,80-84,0
Ward 1,4350,Norwester Industrial,30-34,0
Ward 1,4530,Sunwapta Industrial,65-69,0
Ward 2,3260,Lauderdale,40-44,147
Ward 3,3370,Rapperswill,20-24,129
Ward 1,4530,Sunwapta Industrial,60-64,0
Ward 7,2580,Northmount,30-34,131
Ward 9,5610,Haddow,10-14,320
Ward 2,4050,Bonaventure Industrial,10-14,0
Ward 4,2030,Bannerman,15-19,153
Ward 10,5490,Sweet Grass,40-44,162
Ward 10,5560,Whitemud Creek Ravine South,80-84,0
Ward 1,3330,Parkview,40-44,206
Ward 4,2681,Edmonton Energy And Technology Park,55-59,14
Ward 9,5350,Rhatigan Ridge,75-79,130
Ward 8,5151,Strathcona Junction,25-29,0
Ward 3,2463,Crystallina Nera West,75-79,9
Ward 1,4030,Armstrong Industrial,10-14,0
Ward 8,6730,Terrace Heights,20-24,125
Ward 1,4020,Aldergrove,70-74,161
Ward 3,2463,Crystallina Nera West,20-24,162
Ward 8,6061,Capilano,Prefer Not to Answer,97
Ward 3,3180,Dunluce,55-59,374
Ward 6,3210,Grovenor,10-14,98
Ward 7,2640,River Valley Highlands,15-19,0
Ward 9,5452,MacEwan,35-39,471
Ward 11,6700,Strathcona Industrial Park,25-29,0
Ward 3,3030,Baturyn,5-9,273
Ward 2,4050,Bonaventure Industrial,80-84,0
Ward 1,4475,Kinokamau Plains Area,25-29,3
Ward 6,3310,North Glenora,40-44,133
Ward 4,2120,Canon Ridge,35-39,215
Ward 2,3460,Albany,65-69,34
Ward 4,2030,Bannerman,25-29,194
Ward 8,6310,Holyrood,5-9,170
Ward 1,4310,Meadowlark Park,35-39,143
Ward 12,6140,Crawford Plains,15-19,254
Ward 11,6200,Ekota,40-44,190
Ward 4,2611,Cy Becker,30-34,249
Ward 10,5280,Malmo Plains,15-19,94
Ward 7,1160,Parkdale,30-34,295
Ward 3,2463,Crystallina Nera West,0-4,190
Ward 1,4750,Rosenthal,60-64,116
Ward 6,1210,Riverdale,55-59,139
Ward 1,4300,McNamara Industrial,65-69,0
Ward 3,3490,Goodridge Corners,75-79,0
Ward 2,4210,High Park Industrial,50-54,0
Ward 1,4200,High Park,25-29,70
Ward 1,4410,Poundmaker Industrial,85+,0
Ward 5,4420,Quesnell Heights,80-84,10
